case_id,action_number,action,owner,timing,verification
CASE-090,2,Add HR ‑ sensitivity prompts reminding users to ensure privacy before starting the meeting.,IT Security Lead,<30 days,Prompt appears during HR meeting invitations
CASE-090,3,Publish WFH privacy guidelines tailored specifically to HR and personnel ‑ related discussions.,HR / IT Communications,<30 days,Guidance distributed and employee acknowledgments collected
CASE-090,4,Provide training on managing unexpected household or visitor interruptions during critical calls.,Security Awareness Coordinator,30–90 days,Training completion reports and quiz results
CASE-090,5,Deploy enhanced microphone indicators (visual + audible) on corporate devices.,Desktop Engineering,30–90 days,User acceptance testing
CASE-090,6,Encourage staff to use noise ‑ isolating headsets for all HR conversations.,HSE Advisor,Immediate,Adoption included in WFH safety checklists
CASE-090,7,Offer optional workspace privacy consultations for remote employees.,IT Support / Facilities Advisor,>90 days,Participation logs and follow ‑ up surveys
CASE-091,1,Implement auto ‑ mute after inactivity in HR ‑ tagged or confidential meeting types.,Collaboration Tools Lead,30–90 days,Verified via meeting logs and pilot testing
CASE-091,2,Publish enhanced WFH privacy guidance specific to performance and HR conversations.,HR / IT Communications,<30 days,Guidance distributed and acknowledged in the HR portal
CASE-091,3,Enable an enlarged microphone status indicator on all corporate devices.,Desktop Engineering,<30 days,Indicator confirmed during system checks
CASE-091,4,Provide micro ‑ training on managing interruptions and maintaining confidentiality in home environments.,Security Awareness Coordinator,30–90 days,Completion records and assessment scores
CASE-091,5,Encourage employees to schedule performance discussions during low ‑ traffic household periods and use door ‑ closed policies.,Department Managers,Immediate,Included in pre ‑ meeting reminders
CASE-091,6,Offer workspace setup consultations to help employees improve privacy in remote settings.,HSE / IT Support,>90 days,Participation logs and follow-up surveys
CASE-091,7,Update meeting templates to display a “Confidential Call – Verify Privacy” banner at join time.,Collaboration Governance Manager,>90 days,Banner visible during test sessions
CASE-092,1,Enable automatic microphone mute after inactivity during HR ‑ tagged meetings.,Collaboration Tools Lead,30–90 days,Confirm auto ‑ mute activation through system logs
CASE-092,2,Publish updated WFH confidentiality guidelines tailored to HR and compensation discussions.,HR / IT Communications,<30 days,Document distribution records and employee acknowledgment
CASE-092,3,Introduce a high ‑ visibility microphone status overlay on all corporate laptops.,Desktop Engineering,<30 days,User acceptance testing and deployment logs
CASE-092,4,Add a “Confidential Call – Check Privacy” pop ‑ up for HR and compensation meetings.,Collaboration Governance Manager,>90 days,Pop ‑ up tested on pilot group
CASE-092,5,Provide targeted training on managing confidential conversations in remote environments.,Security Awareness Coordinator,30–90 days,Training completion reports
CASE-092,6,Encourage use of dedicated WFH office spaces with closed ‑ door policies during HR discussions.,HSE Advisor,Immediate,Incorporated into WFH setup checklists
CASE-092,7,Offer workspace privacy consultations for employees handling sensitive discussions.,Facilities / IT Support,>90 days,Participation logs and follow ‑ up surveys
CASE-093,1,Enable automatic microphone muting when headsets are unplugged or removed.,Collaboration Tools Lead,30–90 days,Functionality tested across a pilot group
CASE-093,2,Publish a dedicated “Confidential WFH Conversations” guideline.,HR / IT Communications,<30 days,Acknowledgment captured through intranet compliance check
CASE-093,3,Roll out an enhanced mic ‑ status overlay visible even when away from the keyboard.,Desktop Engineering,<30 days,Field validation with remote users
CASE-093,4,Deliver a micro ‑ training module focused on managing sensitive conversations in shared home environments.,Security Awareness Coordinator,30–90 days,Completion and quiz results
CASE-093,5,Encourage employees to schedule HR/compensation calls during low ‑ distraction periods.,People Managers,Immediate,Added to meeting planning guidance
CASE-093,6,Provide optional workspace privacy consultations for remote employees.,HSE Advisor,>90 days,Consultation logs and user feedback
CASE-093,7,Introduce a “Secure Room Check” reminder prompt before joining HR ‑ tagged meetings.,Collaboration Governance Manager,>90 days,Prompt observed during test deployments
CASE-094,1,Block corporate devices from connecting to unsecured public networks.,Cybersecurity Engineer,<30 days,Network logs confirm automatic blocking of public SSIDs
CASE-094,2,Remove or disable all personal cloud ‑ storage integrations from corporate laptops.,IT Asset Manager,Immediate,Endpoint compliance audit
CASE-094,3,Deploy a pop ‑ up warning when saving sensitive documents outside corporate storage.,Desktop Engineering,30–90 days,Successful warning trigger tests
CASE-094,4,Add “public network” risk awareness to cybersecurity training modules.,Security Awareness Lead,<30 days,Training completion metrics and quiz scores
CASE-094,5,Require VPN auto ‑ connect for all offsite network usage.,IT Network Administrator,Immediate,VPN logs confirm universal enforcement
CASE-094,6,Issue guidance advising employees to use privacy ‑ screen filters and secure seating when in public areas.,HSE/IT Communications,<30 days,Document acknowledgment
CASE-094,7,Create a quarterly audit for unauthorized sync services on corporate endpoints.,IT Compliance Officer,>90 days,Audit results and remediation reports. Working in a Café + Device Theft
CASE-095,1,Mandate automatic device lock after 30 seconds of inactivity.,IT Security Lead,<30 days,Endpoint compliance scan
CASE-095,2,Provide anti ‑ theft cable locks for all employees.,IT Asset Manager,<30 days,Distribution log
CASE-095,3,Deploy updated training on physical security in public workspaces.,Security Awareness Coordinator,30–90 days,Training completion records
CASE-095,4,Restrict access to sensitive documents when devices connect from public networks.,Cybersecurity Engineer,>90 days,Policy audit
CASE-095,5,Implement real ‑ time alerts for device movement outside trusted zones.,Collaboration Tools Manager,>90 days,Pilot deployment results. Working in a Café + Overheard Call
CASE-096,1,Mandate headset use for all calls involving sensitive topics.,HR / IT Communications,Immediate,Included in meeting ‑ prep checklist
CASE-096,2,Publish a “Secure Virtual Meetings in Public Spaces” guideline.,Security Awareness Lead,<30 days,Document acknowledgment
CASE-096,3,Enable desktop prompts warning users when joining sensitive meetings from public Wi ‑ Fi.,IT Security Lead,30–90 days,Alert logs
CASE-096,4,Add training modules on acoustic privacy and physical ‑ space risk assessment.,Training Coordinator,>90 days,Completion reports
CASE-096,5,Encourage the use of designated privacy zones or booking tools for remote work locations.,Facilities/IT Support,>90 days,Survey of usage patterns
CASE-097,1,Configure email clients to display a prominent warning when users send to large or mixed internal/contractor distribution lists.,Messaging Administrator,<30 days,Test messages to flagged lists show warnings in the user interface
CASE-097,2,Rename and tag sensitive or large distribution lists to make them visually distinct from smaller working groups.,Directory Services Lead,30–90 days,Updated naming convention documented and visible in address book
CASE-097,3,Introduce a “review recipients” confirmation step for emails that include external domains or exceed a defined recipient threshold.,Security Governance Manager,30–90 days,Confirmation dialog appears during pilot and is recorded in logs
CASE-097,4,"Add guidance on email addressing risks in public, distraction ‑ prone environments to the remote ‑ work policy.",HR / IT Communications,<30 days,Updated policy published and acknowledgment captured
CASE-097,5,"Deliver a micro ‑ training module for employees on preventing mis ‑ addressed emails, including autocomplete pitfalls.",Security Awareness Coordinator,30–90 days,Completion reports and scenario ‑ based quiz results
CASE-097,6,Encourage teams to use restricted ‑ access collaboration spaces for draft planning documents instead of email attachments.,Collaboration Tools Owner,>90 days,Usage metrics show increased adoption of secure spaces
CASE-097,7,Conduct periodic audits of distribution list membership to remove unnecessary external recipients.,IT Operations Manager,>90 days,"Audit reports and membership change logs. Confidential Work Viewed by Bystander During Public Café Session Category: Near Miss Risk Level: Medium Setting: Remote Work – Public Café Date: 2021 Location: Vancouver Injury Category: No Injury Severity: Potentially Significant Primary Classification: Security What happened An employee conducting routine administrative work from a public café opened a work dashboard containing internal project data. The table layout was visible on a laptop facing outward toward foot traffic. A nearby customer briefly stood behind the employee while waiting for their order and appeared to glance at the screen. The employee noticed the reflection of the bystander in the window and immediately locked the laptop. No confirmed data capture occurred, and the employee relocated to a more private seating area. The incident was later reported as a potential visual ‑ exposure near miss. What could have happened Sensitive internal data could have been viewed, photographed, or recorded. Information could have been shared beyond the organization, creating reputational or competitive risk. Unauthorized access attempts could have been attempted using visible project names or system structures. A broader data ‑ privacy incident could have required formal investigation and notification. Why did it happen – Root causes Remote ‑ work model lacked clear guidance for public ‑ space device ‑ use risk. Inadequate physical ‑ privacy controls available in the employee’s mobile setup. Security awareness training did not emphasize shoulder ‑ surfing as a visual ‑ exposure hazard. Causal factors Crowded café seating and high customer turnover. Screen brightness left information easily readable from multiple angles. Time pressure to complete work between meetings led to reduced situational awareness. Assumption that working in a casual environment carried minimal data ‑ security risk. Lack of a privacy screen filter on the laptop. What went well Employee noticed the potential exposure and locked the device immediately. No confirmed data capture occurred, reducing the overall impact. Incident was proactively reported, allowing for learning and improvement. Employee moved to a lower ‑ risk environment before resuming work. Lessons to prevent re ‑ occurrence Treat public environments as high ‑ risk zones for visual data exposure. Always use privacy ‑ screen filters when mobile working. Ensure remote ‑ work guidelines clearly define acceptable and non ‑ acceptable locations for handling sensitive information. Build awareness that data protection includes physical observation risks, not just digital threats. Encourage employees to assess surroundings before opening any internal systems. Provide ergonomic setups or alternative spaces for mobile workers. Actions"
CASE-097,8,Provide privacy ‑ screen filters for all mobile laptops.,IT Asset Lead,<30 days,Distribution log & user confirmation
CASE-097,9,Update remote ‑ work policy to include public ‑ space data ‑ handling requirements.,Security Governance Manager,30–90 days,Policy approval + communication completion
CASE-097,10,Add visual ‑ exposure scenarios to annual security ‑ awareness training.,Cybersecurity Training Coordinator,>90 days,LMS module updated + completion rates
CASE-097,11,Configure automatic screen ‑ lock timers to a stricter default.,IT Endpoint Administrator,<30 days,Endpoint management compliance report
CASE-097,12,Publish a quick ‑ reference guide on safe mobile working.,HSE/IT Joint Communications Lead,Immediate,Guide posted on intranet & included in onboarding
CASE-097,13,Encourage teams to conduct quarterly discussions on mobile ‑ work security.,Team Supervisors,30–90 days,Meeting minutes citing completed discussion
CASE-097,14,Assess availability of company ‑ approved quiet workspaces for staff needing mobile flexibility.,Facilities Coordinator,>90 days,Space ‑ use analysis + recommendations
CASE-097,15,Conduct phishing ‑ resilience and situational ‑ awareness refreshers including physical ‑ threat vectors.,Security Operations Lead,30–90 days,Workshop attendance & post ‑ session assessments
CASE-097,16,Implement periodic spot checks of mobile ‑ work practices (non ‑ punitive).,Security Compliance Lead,>90 days,Quarterly compliance summary
CASE-097,17,Add reminder pop ‑ ups when connecting to public Wi ‑ Fi about surrounding ‑ awareness risks.,IT Network Services,<30 days,Deployment report
CASE-098,1,Update remote ‑ work policy to explicitly prohibit accessing sensitive data in public venues without approved controls.,Security Governance Manager,30–90 days,Policy published; acknowledgment recorded in learning system
CASE-098,2,Deploy mandatory privacy ‑ screen filters to all laptops with access to client or confidential data.,IT Asset Manager,<30 days,Asset register updated; distribution log signed by users
CASE-098,3,Enhance security ‑ awareness training with a module on visual ‑ exposure risks and real ‑ world scenarios.,Cybersecurity Training Coordinator,30–90 days,Training module live; completion metrics above defined threshold
CASE-098,4,Implement application features to mask or truncate sensitive fields by default when accessed remotely.,Business Systems Product Owner,>90 days,Change request closed; user acceptance testing confirms masking behavior
CASE-098,5,Configure endpoint management to detect and alert when sensitive applications are accessed over unsecured networks.,IT Endpoint Administrator,30–90 days,Pilot alerts tested; dashboard shows active monitoring
CASE-098,6,Issue practical guidance on safe screen positioning and seating when working outside the office.,HSE/IT Communications Lead,Immediate,Guidance posted on intranet; link included in all remote ‑ work onboarding materials
CASE-098,7,"Conduct targeted tabletop exercises simulating physical data ‑ exposure events, including café and transit scenarios.",Security Operations Lead,>90 days,Exercise reports completed; improvement actions tracked to closure
CASE-098,8,Review and tighten data ‑ classification rules to ensure high ‑ sensitivity information is clearly labeled and protected.,Data Protection Officer,30–90 days,Classification standard updated; periodic audits confirm correct usage
CASE-098,9,Add a pre ‑ login reminder for remote users highlighting obligations around physical and visual data protection.,IT Service Owner – Collaboration Tools,<30 days,Reminder active on login screen; user feedback gathered after deployment
CASE-099,1,Update HR ‑ data governance to prohibit open ‑ area display of HR ‑ classified content.,HR Policy Lead,<30 days,Policy revision approved and published
CASE-099,2,Implement default privacy ‑ screen filters on all HR ‑ authorized laptops.,IT Asset Manager,<30 days,Distribution log and asset ‑ tracking confirmation
CASE-099,3,Configure HR dashboards to mask sensitive content on initial load.,People Analytics Product Owner,30–90 days,User acceptance testing and configuration sign ‑ off
CASE-099,4,Conduct training refresh on physical data ‑ security risks for all HR and People Analytics staff.,HR Training Coordinator,30–90 days,Completion report from LMS
CASE-099,5,Reassess shared collaboration zones for visibility and install privacy signage.,Facilities Coordinator,>90 days,Workplace assessment report
CASE-099,6,Add automated warnings when HR dashboards detect connection to external monitors.,IT Systems Engineer,30–90 days,Alert logs and user ‑ feedback review
CASE-099,7,Create a quick ‑ reference guide for safe handling of HR ‑ classified content in hybrid workplaces.,HR Communications Lead,Immediate,Guide posted on intranet; link shared during onboarding
CASE-099,8,Audit dashboard access logs quarterly to detect unusual usage patterns.,Internal Audit Analyst,>90 days,Quarterly audit summary
CASE-099,9,Introduce “private ‑ work pods” in high ‑ traffic areas for sensitive work sessions.,Workplace Design Lead,>90 days,Facility update completion report
CASE-100,1,Restrict full ‑ desktop sharing for accounts with HR ‑ system access.,IT Collaboration Tools Administrator,<30 days,Configuration audit & test share attempt logs
CASE-100,2,Update HR information ‑ handling policy to explicitly address virtual ‑ meeting visibility risks.,HR Governance Lead,30–90 days,Policy publication & acknowledgment tracking
CASE-100,3,Implement automated masking of sensitive HR dashboard fields when screen share is detected.,People Systems Product Owner,>90 days,UAT sign ‑ off & monitoring of system telemetry
CASE-100,4,Introduce mandatory pre ‑ meeting checklist templates for teams accessing confidential systems.,HR Communications Lead,Immediate,Checklist posted & included in onboarding materials
CASE-100,5,Add a high ‑ visibility screen ‑ share preview banner requiring confirmation before broadcasting the desktop.,IT Systems Engineer,30–90 days,Deployment validation & user ‑ feedback collection
CASE-100,6,"Deliver targeted virtual ‑ meeting security awareness sessions to high ‑ risk groups (HR, Finance, IT).",Cybersecurity Training Coordinator,30–90 days,LMS completion records
CASE-100,7,Conduct periodic audits of screen ‑ share logs from sensitive teams.,Internal Audit Analyst,>90 days,Quarterly summary report
CASE-100,8,Configure HR systems to reopen to a neutral landing page instead of the last ‑ used sensitive view.,Systems Configuration Specialist,30–90 days,Configuration review & user acceptance tests
CASE-100,9,Publish a quick ‑ reference guide on preventing virtual ‑ meeting data exposure.,HSE/IT Communications Lead,Immediate,Guide posted & referenced in training updates
CASE-101,1,Restrict full ‑ desktop sharing for accounts with access to HR ‑ classified tools.,IT Collaboration Tools Administrator,<30 days,Configuration audit confirming restriction
CASE-101,2,Implement pre ‑ share pop ‑ up warnings when HR applications are open.,People Systems Product Owner,30–90 days,User acceptance testing and alert behavior validation
CASE-101,3,Update virtual ‑ meeting guidelines to detail safe screen ‑ sharing practices.,HR Communications Lead,Immediate,Guidance posted and included in onboarding
CASE-101,4,Provide refresher training on visual ‑ exposure risks in digital environments.,Cybersecurity Training Coordinator,30–90 days,LMS completion report
CASE-101,5,Configure HR dashboards to open to a neutral landing page by default.,Systems Configuration Specialist,>90 days,System behavior validated during testing
CASE-101,6,Encourage teams to perform quick pre ‑ meeting desktop checks.,Team Supervisors,Immediate,Inclusion in team briefings
CASE-101,7,Conduct quarterly audits of screen ‑ sharing practices for HR ‑ authorized users.,Internal Audit Analyst,>90 days,Quarterly audit summary
CASE-102,1,Add attachment ‑ confirmation prompts for chats involving HR ‑ authorized accounts.,IT Collaboration Tools Administrator,<30 days,Settings audit confirming prompt behavior
CASE-102,2,Standardize HR file naming conventions to reduce confusion with project files.,HR Governance Lead,30–90 days,Updated standards published and versions reviewed
CASE-102,3,"Create separate, access ‑ restricted HR workspaces to prevent cross ‑ posting.",People Systems Administrator,>90 days,Workspace access logs reviewed
CASE-102,4,Publish guidance on safe file ‑ sharing practices in collaboration tools.,HR Communications Lead,Immediate,Guide posted to intranet
CASE-102,5,Add automated warnings when attempting to share HR ‑ classified files in non ‑ HR channels.,Systems Configuration Specialist,30–90 days,Test alerts verified via pilot group
CASE-102,6,Conduct training refresh on preventing mis ‑ sharing incidents across digital platforms.,Cybersecurity Training Coordinator,30–90 days,LMS training completion reports
CASE-102,7,Encourage team leads to include “file check” reminders in meetings involving high document traffic.,Team Supervisors,Immediate,Noted in meeting briefs
CASE-102,8,Enable optional “restricted file mode” for users with HR data responsibilities.,IT Security Administrator,>90 days,Mode activation logs reviewed
CASE-102,9,Perform quarterly audits of accidental file ‑ share deletions to identify patterns.,Internal Audit Analyst,>90 days,Quarterly audit summary
CASE-103,1,Implement automated HR ‑ classification scanning to block uploads in unrestricted chat channels.,IT Security Administrator,<30 days,Test uploads blocked in pilot channels
CASE-103,2,Enforce pop ‑ up confirmation prompts when attaching files in project or cross ‑ functional chats.,IT Collaboration Tools Administrator,30–90 days,Configuration audit and user ‑ feedback review
CASE-103,3,Develop strict naming conventions and tagging requirements for all HR ‑ classified documents.,HR Governance Lead,30–90 days,Standard published and reviewed in quarterly audits
CASE-103,4,Introduce restricted HR ‑ only workspaces with automatic permissions separation.,People Systems Administrator,>90 days,Workspace permission logs
CASE-103,5,Add mandatory training module on high ‑ risk file ‑ sharing behaviors in chat tools.,Cybersecurity Training Coordinator,30–90 days,LMS completion metrics
CASE-103,6,Configure chat platforms to display a preview of selected files before final send.,IT Systems Engineer,>90 days,Feature tested with user group
CASE-103,7,Implement monthly audit of deleted chat attachments to identify patterns of mis ‑ shares.,Internal Audit Analyst,>90 days,Monthly audit summary
CASE-103,8,Create awareness campaign on safe document handling for HR and cross ‑ functional teams.,HR Communications Lead,Immediate,Campaign distributed and acknowledged
CASE-103,9,"Add a “restricted mode” for employees working with confidential HR content, limiting visible folders during uploads.",Systems Configuration Specialist,30–90 days,Mode adoption tracked in system logs
CASE-104,1,Deploy data ‑ loss ‑ prevention (DLP) scanning to automatically detect and block HR ‑ classified content in unrestricted chats.,IT Security Administrator,<30 days,Blocked ‑ share logs demonstrate correct functioning
CASE-104,2,Implement forced confirmation prompts for all file uploads in channels with mixed membership.,Collaboration Tools Administrator,30–90 days,User acceptance testing and log review
CASE-104,3,Create hardened HR ‑ only repositories with mandatory access controls and removal from global “Recent Files” views.,People Systems Architect,>90 days,Repository access audit
CASE-104,4,Update HR document ‑ naming standards to include mandatory classification markers.,HR Governance Lead,30–90 days,Quarterly file ‑ structure audit
CASE-104,5,Establish an emergency protocol for remote deletion of sensitive files from user devices.,IT Endpoint Security Lead,>90 days,Successful remote ‑ deletion tests
CASE-104,6,Deliver targeted training on file ‑ sharing risks for all HR ‑ authorized staff and project leads.,Cybersecurity Training Coordinator,30–90 days,LMS completion metrics
CASE-104,7,Introduce mandatory review of chat ‑ channel membership for any groups handling mixed ‑ sensitivity content.,Team Supervisors,Immediate,Documented membership review
CASE-104,8,Configure collaboration tools to auto ‑ flag and quarantine sensitive files shared outside designated HR channels.,Systems Configuration Specialist,>90 days,Quarantine log reports
CASE-104,9,Conduct monthly audits of mis ‑ shared or revoked files to identify emerging risk patterns.,Internal Audit Analyst,>90 days,Monthly audit summary
CASE-105,1,Deploy automated DLP rules preventing HR ‑ classified files from being shared to any channel with external membership.,IT Security Administrator,<30 days,Blocked ‑ share logs reviewed weekly
CASE-105,2,Configure collaboration tools to require confirmation before uploading any file to large or mixed ‑ access groups.,Collaboration Tools Administrator,30–90 days,UAT testing and configuration audit
CASE-105,3,Introduce mandatory quarterly membership reviews for all project chat channels.,Team Supervisors,Immediate,Documented membership ‑ review reports
CASE-105,4,Create HR ‑ only secure repositories with strict access and remove them from global “Recent Files” lists.,People Systems Architect,>90 days,Access ‑ control audit
CASE-105,5,Develop updated file ‑ naming standards requiring HR sensitivity tags for all classified documents.,HR Governance Lead,30–90 days,Quarterly naming ‑ convention review
CASE-105,6,Implement auto ‑ quarantine for any HR ‑ classified file uploaded to unrestricted channels.,Systems Configuration Specialist,>90 days,Quarantine logs
CASE-105,7,Conduct cross ‑ organization incident ‑ response drills with contractors to ensure readiness for future breaches.,Security Operations Lead,>90 days,Exercise report and follow ‑ up actions
CASE-105,8,Provide advanced training on high ‑ risk file ‑ sharing scenarios to employees with HR data access.,Cybersecurity Training Coordinator,30–90 days,Training completion records
CASE-105,9,"Implement forced isolation mode for any user who opens HR ‑ classified content, limiting accessible folders across the system.",Endpoint Security Manager,>90 days,System ‑ behavior validation
CASE-106,1,Disable public ‑ link generation for all HR ‑ classified folders and documents.,IT Security Administrator,<30 days,System configuration audit confirming restriction
CASE-106,2,Implement automatic DLP scanning to detect and block posting of public links to HR ‑ classified content.,Collaboration Tools Administrator,30–90 days,DLP event logs
CASE-106,3,Introduce a mandatory warning banner when users attempt to create unrestricted links.,Systems Configuration Specialist,>90 days,User acceptance testing
CASE-106,4,"Create a dedicated, access ‑ restricted HR document workspace with limited visibility.",People Systems Architect,>90 days,Access ‑ control audit
CASE-106,5,Strengthen file ‑ naming conventions for HR documents to clearly identify classification level.,HR Governance Lead,30–90 days,Quarterly review of file ‑ naming compliance
CASE-106,6,Implement regular channel ‑ membership reviews for any chats involving sensitive workflows.,Team Supervisors,Immediate,Documented membership review
CASE-106,7,Provide advanced training on collaboration ‑ tool link ‑ sharing risks.,Cybersecurity Training Coordinator,30–90 days,LMS completion data
CASE-106,8,Enable remote deletion capabilities for externally downloaded files where technically feasible.,Endpoint Security Lead,>90 days,Remote ‑ wipe test results
CASE-106,9,Conduct monthly audits of link ‑ sharing events involving HR ‑ classified content.,Internal Audit Analyst,>90 days,Monthly audit summary
CASE-107,1,Implement secure ‑ print release for all HR ‑ classified documents.,IT Print Services Lead,<30 days,Print ‑ queue audit confirming release ‑ code usage
CASE-107,2,Configure collaboration tools to block uploading of HR ‑ classified files outside HR ‑ approved channels.,IT Security Administrator,30–90 days,DLP logs showing blocked attempts
CASE-107,3,Establish clean ‑ desk and physical ‑ document ‑ handling rules for hybrid workspaces.,HR Governance Lead,Immediate,Policy acknowledgment records
CASE-107,4,Redesign shared workstation zones to include signage and secure paper disposal bins.,Facilities Coordinator,>90 days,Workspace inspection report
CASE-107,5,Remove HR ‑ classified items from “Recent Files” suggestions in chat and collaboration apps.,Systems Configuration Specialist,30–90 days,Functionality testing
CASE-107,6,Provide dual ‑ risk training modules covering physical + digital data exposure scenarios.,Cybersecurity Training Coordinator,30–90 days,LMS completion summary
CASE-107,7,Require quarterly audits of both paper ‑ based and digital HR ‑ document access patterns.,Internal Audit Analyst,>90 days,Quarterly audit report
CASE-107,8,Introduce color ‑ coded HR document covers to prevent accidental visibility in shared spaces.,HR Operations Manager,Immediate,Inventory and rollout confirmation
CASE-107,9,Enable pre ‑ attachment file ‑ preview prompts for all users with HR permissions.,Collaboration Tools Administrator,<30 days,Prompt behavior validated in test environment
CASE-108,1,Establish visitor ‑ safe zones physically separated from work surfaces containing confidential information.,Facilities Coordinator,>90 days,Updated floor ‑ plan review and site inspection
CASE-108,2,Enforce mandatory auto ‑ lock timers on all HR ‑ authorized devices.,IT Endpoint Security Lead,<30 days,Endpoint compliance reports
CASE-108,3,Implement signage and tabletop indicators reminding staff not to leave sensitive content unattended.,Workplace Experience Manager,Immediate,Visual inspection and staff feedback
CASE-108,4,Restrict use of collaboration areas by visitors unless supervised.,Reception Supervisor,30–90 days,Updated visitor ‑ management procedure
CASE-108,5,Provide training refreshers for HR and high ‑ risk teams on physical exposure risks.,Cybersecurity Training Coordinator,30–90 days,LMS completion report
CASE-108,6,Implement a clean ‑ desk enforcement policy for any HR ‑ classified materials.,HR Governance Lead,Immediate,Quarterly physical ‑ security audits
CASE-108,7,Move sensitive document review activities to designated secure rooms.,Department Managers,<30 days,Manager sign ‑ off and spot ‑ check observations
CASE-108,8,Introduce secure print-release for all HR documents to prevent unattended outputs.,IT Print Services Lead,30–90 days,Print log review
CASE-108,9,Add privacy filters to laptops used by HR personnel working in semi ‑ open office areas.,IT Asset Manager,<30 days,Distribution log
CASE-109,1,Create clearly marked “No Sensitive Work” zones in all reception and waiting areas.,Facilities Coordinator,Immediate,On ‑ site signage review and placement audit
CASE-109,2,Implement a physical ‑ document handling protocol for departments managing classified data.,HR Governance Lead,<30 days,Policy acknowledgment tracking
CASE-109,3,Install privacy partitions or reposition counters to prevent document visibility from visitor areas.,Workplace Design Lead,>90 days,Facilities inspection report
CASE-109,4,Restrict photography in reception spaces through policy and visible signage.,Security Operations Manager,Immediate,Policy published and signage installed
CASE-109,5,Provide training refreshers on physical HR ‑ data protection to all staff handling sensitive content.,Cybersecurity Training Coordinator,30–90 days,LMS completion records
CASE-109,6,Introduce secure document folders with solid covers to prevent visibility when set down.,HR Operations Manager,<30 days,Distribution log
CASE-109,7,Conduct quarterly audits of visitor ‑ exposed zones for potential visibility hazards.,Internal Audit Analyst,>90 days,Audit summary reports
CASE-109,8,Develop a rapid ‑ response protocol for unintentional photographic capture incidents.,Security Governance Lead,30–90 days,Completion of incident ‑ response simulation
CASE-109,9,Implement mandatory screen ‑ lock and clean ‑ desk checks in front ‑ of ‑ house areas.,Department Supervisors,Immediate,Spot ‑ check documentation
CASE-110,1,Configure AI tools to block retrieval of HR ‑ classified fields through prompts.,IT Security Administrator,<30 days,Prompt ‑ blocking test results logged
CASE-110,2,Restrict auto ‑ save locations for AI ‑ generated documents to user ‑ private folders.,Systems Configuration Specialist,30–90 days,File ‑ location audit
CASE-110,3,Deliver training on safe AI prompting and data ‑ classification boundaries.,Cybersecurity Training Coordinator,30–90 days,LMS completion records
CASE-110,4,Implement pop ‑ up confirmations before saving AI ‑ generated documents to shared workspaces.,Collaboration Tools Administrator,30–90 days,User ‑ acceptance testing
CASE-110,5,Review and update workspace membership for teams with mixed data access.,Department Managers,Immediate,Documented access ‑ review results
CASE-110,6,Add classification tags to AI ‑ generated outputs to flag potential sensitive content.,People Systems Architect,>90 days,Classification log review
CASE-110,7,Establish a rapid ‑ response protocol specifically for AI ‑ related data exposures.,Security Governance Lead,30–90 days,Completion of response simulation
CASE-110,8,Update internal AI usage guidelines to include restricted ‑ content prompting examples.,HR Governance Lead,Immediate,Policy publication
CASE-111,1,Establish mandatory human verification for AI ‑ driven maintenance deferral recommendations.,Operations Supervisor,Immediate,Checklist sign ‑ off audits
CASE-111,2,Conduct a technical review of the AI model’s training dataset and identify missing failure modes.,Reliability Engineer,30–90 days,Updated model documentation
CASE-111,3,Develop training for operations teams on interpreting AI output and known limitations.,Digital Tools Training Lead,<30 days,LMS completion reports
CASE-111,4,Configure the AI system to flag borderline vibration or thermal data as high ‑ priority regardless of historical patterns.,Systems Configuration Specialist,30–90 days,Alert ‑ behavior testing
CASE-111,5,Implement dual ‑ review for any maintenance deferral decisions during high ‑ workload periods.,Shift Supervisor,Immediate,Shift log reviews
CASE-111,6,Add periodic audits comparing AI recommendations to actual equipment conditions.,Internal Audit Analyst,>90 days,Quarterly audit reports
CASE-111,7,Update digital ‑ maintenance SOPs to define acceptable AI ‑ assisted versus human ‑ led decision boundaries.,HSE & Operations Governance Lead,30–90 days,SOP publication
CASE-111,8,Improve sensor ‑ health diagnostics to detect subtle misalignment or surface loosening conditions.,Instrumentation Lead,>90 days,Sensor performance test results
CASE-111,9,Create a rapid ‑ response escalation channel for anomalies identified during walk ‑ downs that contradict AI guidance.,Operations Manager,Immediate,Escalation log audit
CASE-112,1,Implement a dual ‑ verification protocol requiring confirmation from physical sensors before shutdown on non ‑ critical assets.,Operations Supervisor,Immediate,Updated SOP available and used in shift logs
CASE-112,2,Retrain the AI anomaly ‑ detection model using expanded datasets including normal sensor drift.,Data Science Lead,30–90 days,Model validation report
CASE-112,3,Add a real ‑ time sensor ‑ health diagnostic layer to identify drift or calibration issues before feeding data to AI.,Instrumentation Engineer,>90 days,Sensor ‑ health dashboard implemented
CASE-112,4,Introduce training for operations staff on interpreting AI alerts and cross ‑ checking with manual readings.,Digital Tools Training Coordinator,<30 days,LMS completion records
CASE-112,5,Review and tighten calibration schedules for temperature and vibration sensors.,Maintenance Planner,30–90 days,Updated calibration records
CASE-112,6,Configure dashboards so AI alerts are displayed alongside raw sensor data for balanced decision-making.,Systems Configuration Specialist,30–90 days,UI update confirmed through UAT
CASE-112,7,Conduct quarterly audits comparing AI alerts to actual equipment conditions.,Internal Audit Analyst,>90 days,Quarterly audit summary
